Unit,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman_Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,RC_Arms_Act,RC_Explosive_Act,RC_Narcotics,RC_Smuggling,Date
BMP,0,0,0,0,0,14,1,0,4,6,49,1,0,91,0,2019-01-01
Barishal Range,2,3,16,2,0,86,3,2,16,23,378,1,0,363,0,2019-01-01
CMP,0,3,9,5,0,22,0,5,6,15,125,38,0,449,1,2019-01-01
Chittagong Range,4,11,74,4,0,147,6,10,25,51,891,54,1,1108,10,2019-01-01
DMP,1,10,19,10,0,118,9,6,49,127,411,6,3,1370,14,2019-01-01
Dhaka Range,7,11,75,10,0,216,12,13,28,70,889,18,3,1731,6,2019-01-01
GMP,2,3,3,1,0,22,1,2,2,8,65,3,0,130,2,2019-01-01
KMP,1,0,4,1,0,8,0,0,6,4,16,2,0,272,3,2019-01-01
Khulna Range,4,4,37,0,0,99,2,2,7,36,544,13,3,814,20,2019-01-01
Mymensingh Range,1,1,23,1,0,87,2,6,5,24,405,5,2,435,7,2019-01-01
RMP,0,4,1,1,1,11,0,0,4,6,52,3,0,283,35,2019-01-01
RPMP,0,0,1,0,0,12,1,0,0,6,33,0,0,68,0,2019-01-01
Railway Range,0,1,2,0,0,0,0,0,0,5,9,0,0,55,12,2019-01-01
Rajshahi Range,5,8,29,6,0,99,8,2,5,40,469,25,15,1166,134,2019-01-01
Rangpur Range,1,2,33,0,0,116,0,0,8,38,625,4,0,551,94,2019-01-01
SMP,0,2,5,3,0,15,0,13,2,2,55,0,0,44,2,2019-01-01
Sylhet Range,4,5,20,4,0,67,1,8,7,33,412,1,3,139,21,2019-01-01
BMP,0,0,1,1,0,15,0,0,2,6,33,0,0,76,0,2019-02-01
Barishal Range,1,4,19,0,0,96,3,1,13,15,368,1,0,349,0,2019-02-01
CMP,0,3,5,9,0,31,2,2,9,11,86,33,0,379,1,2019-02-01
Chittagong Range,8,3,55,12,0,149,10,4,34,57,775,52,0,1444,5,2019-02-01
DMP,1,8,16,10,0,148,4,5,42,126,399,10,1,1262,8,2019-02-01
Dhaka Range,5,7,53,4,0,193,9,7,21,79,812,10,1,1647,7,2019-02-01
GMP,0,4,3,1,0,16,0,0,1,6,68,10,0,175,3,2019-02-01
KMP,0,0,1,1,0,6,0,0,5,3,23,2,0,223,1,2019-02-01
Khulna Range,0,2,27,4,0,104,2,1,6,41,433,26,2,1099,34,2019-02-01
Mymensingh Range,0,1,22,5,0,80,3,4,10,27,358,2,0,530,5,2019-02-01
RMP,0,2,0,2,0,10,0,0,5,5,36,2,0,311,23,2019-02-01
RPMP,1,0,0,1,0,16,5,0,0,6,30,1,0,68,0,2019-02-01
Railway Range,0,1,1,0,0,0,0,0,0,8,8,0,0,56,13,2019-02-01
Rajshahi Range,2,3,32,3,0,128,6,6,3,25,445,27,3,1424,141,2019-02-01
Rangpur Range,0,0,14,1,0,160,1,3,8,40,529,2,0,649,94,2019-02-01
SMP,0,1,2,7,0,6,0,0,1,4,44,1,0,53,1,2019-02-01
Sylhet Range,6,4,11,2,0,59,0,4,5,34,317,4,1,258,19,2019-02-01
BMP,0,0,1,2,0,11,0,0,4,4,50,0,0,88,0,2019-03-01
Barishal Range,2,0,11,2,0,119,0,2,15,12,422,4,2,334,1,2019-03-01
CMP,0,4,7,8,0,32,2,2,7,17,111,32,0,446,6,2019-03-01
Chittagong Range,4,5,69,6,0,166,4,10,29,54,803,56,1,1161,10,2019-03-01
DMP,1,7,12,19,0,172,10,3,51,132,433,15,1,1564,13,2019-03-01
Dhaka Range,1,8,60,7,0,201,9,11,22,74,934,10,5,1609,7,2019-03-01
GMP,1,3,7,1,0,22,2,0,0,15,64,17,0,216,5,2019-03-01
KMP,0,1,2,1,0,15,0,0,5,4,28,3,1,222,3,2019-03-01
Khulna Range,3,2,40,3,1,125,0,0,13,36,504,20,5,715,38,2019-03-01
Mymensingh Range,1,0,17,2,0,102,1,0,4,19,379,5,0,467,4,2019-03-01
RMP,0,2,0,1,1,15,0,1,2,4,52,1,0,265,18,2019-03-01
RPMP,0,2,1,0,0,10,5,0,0,5,35,0,0,50,0,2019-03-01
Railway Range,0,0,2,0,0,1,0,0,0,9,17,0,0,49,11,2019-03-01
Rajshahi Range,2,2,22,10,0,138,4,1,4,35,523,17,4,1148,105,2019-03-01
Rangpur Range,2,1,15,0,0,152,3,3,8,44,545,2,0,561,81,2019-03-01
SMP,2,0,1,11,2,13,0,1,5,5,62,1,0,50,2,2019-03-01
Sylhet Range,1,2,23,1,0,72,2,7,4,44,351,3,0,215,13,2019-03-01
BMP,0,1,1,1,0,13,0,0,2,5,46,1,0,99,0,2019-04-01
Barishal Range,2,5,11,3,0,152,0,1,20,19,463,4,0,386,1,2019-04-01
CMP,1,9,15,6,0,50,0,5,8,16,107,60,0,478,8,2019-04-01
Chittagong Range,5,6,65,11,0,274,8,13,29,64,1041,72,1,1298,6,2019-04-01
DMP,1,10,12,13,0,216,14,8,38,107,469,12,3,1603,9,2019-04-01
Dhaka Range,10,15,65,2,0,322,16,8,28,85,1133,13,1,1888,5,2019-04-01
GMP,0,0,7,0,0,24,1,2,2,16,89,8,0,167,3,2019-04-01
KMP,0,0,1,0,0,15,0,0,2,4,32,2,0,197,7,2019-04-01
Khulna Range,2,4,35,1,0,161,6,2,15,28,616,14,0,697,29,2019-04-01
Mymensingh Range,1,1,24,2,0,166,0,0,4,34,427,3,0,510,2,2019-04-01
RMP,0,4,1,0,0,19,2,0,4,4,57,1,0,410,31,2019-04-01
RPMP,0,0,2,0,0,14,0,0,0,5,43,0,0,89,0,2019-04-01
Railway Range,0,1,2,0,0,1,1,0,0,4,11,0,0,67,13,2019-04-01
Rajshahi Range,1,8,36,9,0,212,0,1,5,46,606,15,2,1226,109,2019-04-01
Rangpur Range,1,4,23,1,0,216,2,2,6,41,745,1,0,607,72,2019-04-01
SMP,0,1,2,2,0,19,1,0,1,4,62,0,0,71,3,2019-04-01
Sylhet Range,4,2,17,2,0,97,5,3,7,32,394,3,0,236,23,2019-04-01
BMP,0,1,0,0,0,11,0,0,3,5,47,1,0,116,0,2019-05-01
Barishal Range,0,2,7,0,0,184,0,0,11,20,548,1,1,323,1,2019-05-01
CMP,0,13,9,0,0,46,1,7,6,20,170,111,0,548,5,2019-05-01
Chittagong Range,9,9,75,0,0,295,9,7,24,81,1265,82,0,1303,7,2019-05-01
DMP,2,16,16,5,0,211,9,8,63,122,638,11,3,1524,8,2019-05-01
Dhaka Range,4,12,63,0,0,331,7,15,31,88,1232,16,5,1863,6,2019-05-01
GMP,0,5,5,0,0,31,3,3,4,19,123,5,0,128,1,2019-05-01
KMP,0,2,0,0,0,12,0,1,2,7,40,0,0,117,2,2019-05-01
Khulna Range,3,4,36,0,0,171,3,3,11,35,725,22,4,642,31,2019-05-01
Mymensingh Range,1,0,27,0,0,139,5,3,6,30,549,4,0,485,4,2019-05-01
RMP,0,4,1,0,0,22,1,2,1,5,60,0,0,337,27,2019-05-01
RPMP,0,2,2,0,0,13,0,0,0,5,48,3,0,72,0,2019-05-01
Railway Range,0,1,3,0,0,0,0,0,0,7,13,0,0,48,16,2019-05-01
Rajshahi Range,2,5,35,0,0,241,2,3,10,41,629,18,6,1158,128,2019-05-01
Rangpur Range,1,2,17,0,0,227,1,3,7,46,801,1,1,553,81,2019-05-01
SMP,1,1,4,0,0,17,1,0,1,9,78,3,0,58,3,2019-05-01
Sylhet Range,1,3,20,0,0,90,1,4,2,39,526,5,1,216,13,2019-05-01
BMP,0,2,3,0,0,18,0,0,2,6,42,0,0,99,0,2019-06-01
Barishal Range,0,5,23,0,0,152,1,3,15,20,505,0,0,271,0,2019-06-01
CMP,0,8,6,1,0,51,3,5,7,16,135,68,0,414,4,2019-06-01
Chittagong Range,5,11,87,2,0,295,7,12,27,83,1128,71,0,1173,6,2019-06-01
DMP,2,7,19,0,0,234,6,9,56,108,387,8,3,1121,7,2019-06-01
Dhaka Range,10,17,66,3,0,315,8,11,34,86,1106,13,1,1350,5,2019-06-01
GMP,0,4,5,0,0,25,5,0,1,12,97,3,0,211,1,2019-06-01
KMP,0,0,1,0,0,16,0,0,1,5,43,0,0,115,2,2019-06-01
Khulna Range,3,17,32,0,0,196,5,5,20,49,696,15,2,568,43,2019-06-01
Mymensingh Range,0,2,19,0,0,173,4,3,4,32,565,5,0,503,9,2019-06-01
RMP,0,2,2,0,0,25,0,1,4,2,53,0,0,255,19,2019-06-01
RPMP,0,0,3,0,0,12,5,0,0,6,35,1,0,69,0,2019-06-01
Railway Range,1,0,0,0,0,1,0,0,0,5,10,0,0,36,11,2019-06-01
Rajshahi Range,2,7,54,0,0,250,3,3,8,29,644,12,4,1046,114,2019-06-01
Rangpur Range,1,2,22,1,0,222,1,2,6,40,756,2,0,467,82,2019-06-01
SMP,0,3,5,0,0,21,1,3,0,3,64,0,0,72,7,2019-06-01
Sylhet Range,1,5,24,0,0,94,3,4,7,45,383,5,0,179,12,2019-06-01
BMP,1,1,5,0,0,14,0,0,6,5,34,1,0,114,0,2019-07-01
Barishal Range,3,6,9,0,0,142,1,1,19,22,396,4,0,358,0,2019-07-01
CMP,0,7,4,0,0,73,0,0,13,21,117,62,0,450,3,2019-07-01
Chittagong Range,11,13,62,2,0,262,6,6,51,69,856,68,0,1195,8,2019-07-01
DMP,0,18,33,2,0,205,7,13,69,139,498,14,4,1627,11,2019-07-01
Dhaka Range,10,13,77,3,0,338,11,4,29,93,896,7,1,1577,5,2019-07-01
GMP,2,3,8,0,0,36,2,3,2,13,102,3,0,243,1,2019-07-01
KMP,0,1,2,0,0,16,0,0,1,3,31,0,0,90,3,2019-07-01
Khulna Range,4,8,39,0,0,213,1,4,17,62,644,18,5,956,30,2019-07-01
Mymensingh Range,1,3,20,0,0,155,2,6,6,31,393,7,0,646,5,2019-07-01
RMP,0,6,2,0,0,11,5,1,2,9,66,2,0,396,30,2019-07-01
RPMP,1,2,2,0,0,23,0,0,1,4,31,2,0,84,0,2019-07-01
Railway Range,0,4,1,0,0,1,0,0,0,7,7,1,0,62,24,2019-07-01
Rajshahi Range,1,4,35,0,0,256,4,2,8,42,479,23,4,1378,93,2019-07-01
Rangpur Range,1,2,18,0,0,225,3,2,9,45,754,2,0,650,100,2019-07-01
SMP,0,4,3,0,0,14,2,2,0,9,74,3,0,96,2,2019-07-01
Sylhet Range,3,1,12,0,0,99,0,2,8,37,367,7,0,248,20,2019-07-01
BMP,0,2,4,1,0,14,0,0,11,8,43,2,0,133,0,2019-08-01
Barishal Range,2,1,9,0,0,153,3,2,13,19,409,6,0,364,1,2019-08-01
CMP,1,7,5,7,0,68,1,4,16,20,133,67,0,400,1,2019-08-01
Chittagong Range,11,5,72,9,0,221,7,10,36,66,906,69,1,1213,7,2019-08-01
DMP,2,16,14,6,0,205,8,5,58,98,393,6,1,1371,6,2019-08-01
Dhaka Range,3,12,75,5,0,279,47,6,36,84,998,15,2,1441,2,2019-08-01
GMP,0,3,7,1,0,35,1,0,0,11,69,7,1,218,3,2019-08-01
KMP,0,0,3,0,0,13,0,0,1,11,33,1,0,83,0,2019-08-01
Khulna Range,3,9,37,2,0,174,3,1,19,46,572,21,5,809,29,2019-08-01
Mymensingh Range,1,4,29,4,0,161,2,4,5,33,518,10,0,482,9,2019-08-01
RMP,0,2,5,2,0,20,2,2,3,6,45,3,0,342,18,2019-08-01
RPMP,0,0,2,0,0,16,0,0,0,7,33,0,0,91,0,2019-08-01
Railway Range,0,2,3,0,0,2,0,0,0,5,26,0,0,27,4,2019-08-01
Rajshahi Range,1,9,28,10,0,196,2,2,7,43,603,20,4,1245,97,2019-08-01
Rangpur Range,0,4,27,1,0,271,0,2,7,66,842,4,1,620,88,2019-08-01
SMP,1,1,2,5,0,25,0,2,5,8,82,2,0,65,4,2019-08-01
Sylhet Range,3,2,22,2,0,84,2,6,9,39,372,4,0,252,29,2019-08-01
BMP,0,2,3,2,0,13,0,1,12,8,52,0,0,127,0,2019-09-01
Barishal Range,4,2,10,0,0,148,2,3,15,16,428,5,0,340,2,2019-09-01
CMP,0,10,6,4,0,80,1,3,13,15,116,65,0,441,2,2019-09-01
Chittagong Range,11,9,58,8,0,290,14,7,44,90,825,78,2,1284,11,2019-09-01
DMP,3,17,11,9,0,258,13,3,70,143,499,11,1,1496,15,2019-09-01
Dhaka Range,9,10,54,6,0,330,11,6,40,119,959,18,1,1471,10,2019-09-01
GMP,1,2,5,0,0,49,4,1,0,13,96,4,0,215,0,2019-09-01
KMP,1,0,2,1,0,7,0,0,1,9,34,0,0,148,0,2019-09-01
Khulna Range,2,5,25,4,0,203,4,3,25,64,612,15,0,877,41,2019-09-01
Mymensingh Range,1,2,24,6,0,161,4,4,4,48,501,7,0,766,15,2019-09-01
RMP,1,2,1,0,0,29,0,1,2,2,46,2,0,341,24,2019-09-01
RPMP,0,0,1,0,0,13,5,0,0,10,32,1,0,67,0,2019-09-01
Railway Range,0,0,2,0,0,1,0,0,0,5,12,0,0,41,16,2019-09-01
Rajshahi Range,1,9,26,6,0,284,9,3,9,38,542,28,6,1543,123,2019-09-01
Rangpur Range,1,3,22,1,0,285,5,2,12,67,752,4,0,706,71,2019-09-01
SMP,1,0,0,3,0,28,2,1,1,13,81,3,0,56,3,2019-09-01
Sylhet Range,2,2,18,0,0,97,3,10,10,52,356,9,0,279,27,2019-09-01
BMP,1,1,3,1,0,7,0,1,12,10,39,2,0,107,0,2019-10-01
Barishal Range,2,3,13,0,0,141,4,1,16,15,417,5,2,310,0,2019-10-01
CMP,0,9,8,11,0,97,3,0,11,15,122,53,2,432,3,2019-10-01
Chittagong Range,12,13,59,10,0,274,8,6,31,97,897,69,2,1075,10,2019-10-01
DMP,4,11,19,7,0,247,6,3,64,163,497,21,4,1192,8,2019-10-01
Dhaka Range,9,17,75,7,0,339,13,9,35,101,895,20,3,1326,7,2019-10-01
GMP,2,6,4,2,0,37,0,0,1,15,83,5,1,203,2,2019-10-01
KMP,0,0,1,1,0,10,0,0,3,6,28,0,2,108,1,2019-10-01
Khulna Range,3,5,21,4,0,175,0,2,22,54,564,13,3,805,42,2019-10-01
Mymensingh Range,1,2,19,3,0,160,4,5,5,32,355,4,1,608,13,2019-10-01
RMP,0,4,1,0,1,26,3,1,5,4,44,4,0,301,16,2019-10-01
RPMP,0,0,0,0,0,11,0,0,0,3,53,1,0,102,0,2019-10-01
Railway Range,0,2,2,1,0,0,0,0,0,9,6,0,1,34,17,2019-10-01
Rajshahi Range,2,10,29,11,0,230,5,4,6,41,555,24,4,1414,135,2019-10-01
Rangpur Range,1,5,21,2,0,226,0,3,17,63,610,2,0,579,104,2019-10-01
SMP,0,0,1,9,0,25,0,0,5,12,62,3,1,51,5,2019-10-01
Sylhet Range,1,2,12,0,0,96,2,3,8,46,340,6,0,241,34,2019-10-01
BMP,0,0,3,0,0,21,1,0,8,7,33,2,0,88,0,2019-11-01
Barishal Range,1,1,7,1,0,111,3,0,14,19,377,3,0,284,0,2019-11-01
CMP,0,5,5,9,0,94,0,2,8,20,109,51,1,421,4,2019-11-01
Chittagong Range,7,14,51,9,0,267,6,8,25,82,810,47,1,1058,6,2019-11-01
DMP,2,22,20,4,1,210,4,4,60,141,477,12,2,1355,15,2019-11-01
Dhaka Range,6,16,47,6,0,302,8,7,31,83,885,22,2,1245,10,2019-11-01
GMP,0,2,6,0,0,39,3,0,3,11,65,7,0,155,2,2019-11-01
KMP,0,0,1,0,0,9,0,0,4,1,23,3,0,111,1,2019-11-01
Khulna Range,1,7,28,2,0,169,0,1,19,62,596,21,4,743,26,2019-11-01
Mymensingh Range,0,2,14,2,0,161,1,0,7,34,417,3,0,597,4,2019-11-01
RMP,0,1,4,0,0,14,1,0,1,7,38,2,0,325,19,2019-11-01
RPMP,1,1,1,1,0,18,0,0,0,3,33,1,0,67,0,2019-11-01
Railway Range,0,4,1,0,0,0,0,0,0,5,9,1,0,33,15,2019-11-01
Rajshahi Range,1,6,26,4,0,236,3,4,7,35,554,22,4,1362,137,2019-11-01
Rangpur Range,1,6,22,2,0,183,0,7,8,42,677,3,0,533,81,2019-11-01
SMP,0,2,3,6,0,23,1,1,1,16,62,4,0,63,9,2019-11-01
Sylhet Range,2,6,19,0,0,66,1,4,1,31,312,10,0,230,31,2019-11-01
BMP,0,1,1,0,0,9,0,0,4,6,36,1,0,93,0,2019-12-01
Barishal Range,3,1,11,1,0,93,2,0,11,19,383,3,2,286,2,2019-12-01
CMP,0,6,6,7,0,60,1,0,16,12,112,54,2,373,3,2019-12-01
Chittagong Range,4,7,50,8,0,220,4,5,35,73,766,58,2,984,18,2019-12-01
DMP,2,13,17,12,1,176,8,6,74,111,402,7,6,1395,7,2019-12-01
Dhaka Range,11,16,60,6,0,266,6,5,28,87,806,14,2,1111,10,2019-12-01
GMP,3,3,5,0,0,36,3,0,2,13,73,1,0,212,1,2019-12-01
KMP,0,0,0,1,0,11,0,1,2,5,26,0,1,98,1,2019-12-01
Khulna Range,3,5,24,1,0,153,0,0,18,39,549,13,2,760,23,2019-12-01
Mymensingh Range,0,3,13,4,0,130,3,1,4,33,434,1,0,520,10,2019-12-01
RMP,0,0,2,0,0,15,2,1,2,7,33,1,0,272,23,2019-12-01
RPMP,1,2,3,1,0,11,0,0,1,11,28,1,0,64,0,2019-12-01
Railway Range,0,0,2,0,0,0,0,0,0,7,12,1,0,34,13,2019-12-01
Rajshahi Range,2,4,21,4,0,204,2,2,5,43,508,15,4,1439,135,2019-12-01
Rangpur Range,2,1,15,1,0,149,2,3,12,39,571,1,0,496,81,2019-12-01
SMP,0,0,4,4,0,17,1,1,2,18,64,1,1,50,8,2019-12-01
Sylhet Range,2,4,16,4,0,60,1,2,3,39,337,5,0,222,20,2019-12-01
BMP,0,1,2,2,0,13,0,0,7,16,37,1,0,106,0,2020-01-01
Barishal Range,1,3,12,0,0,105,5,0,11,21,377,6,0,299,2,2020-01-01
CMP,0,5,5,5,0,61,3,1,12,26,90,46,1,435,4,2020-01-01
Chittagong Range,9,12,65,11,0,190,3,6,42,91,821,50,4,1162,7,2020-01-01
DMP,2,19,21,5,2,172,4,3,65,138,469,13,3,1323,8,2020-01-01
Dhaka Range,16,18,41,10,0,253,5,5,39,95,760,13,1,1183,8,2020-01-01
GMP,0,4,4,0,0,33,1,0,0,11,91,2,0,192,0,2020-01-01
KMP,0,0,1,0,0,8,0,0,5,2,31,1,1,129,1,2020-01-01
Khulna Range,5,5,26,1,0,140,6,3,21,58,513,11,2,779,24,2020-01-01
Mymensingh Range,0,1,9,7,0,138,2,6,4,40,409,5,0,795,6,2020-01-01
RMP,0,1,1,0,0,17,0,0,0,11,43,0,0,289,26,2020-01-01
RPMP,0,0,2,0,0,22,0,0,0,8,38,1,0,63,0,2020-01-01
Railway Range,0,1,2,0,0,3,0,0,0,9,11,0,0,36,10,2020-01-01
Rajshahi Range,1,8,32,4,0,219,4,1,9,52,534,16,2,1549,136,2020-01-01
Rangpur Range,1,2,29,2,0,163,2,3,14,55,619,5,0,563,107,2020-01-01
SMP,2,1,1,5,0,22,0,1,4,3,53,0,0,55,4,2020-01-01
Sylhet Range,2,2,20,1,0,65,4,2,5,45,348,2,0,195,17,2020-01-01
BMP,0,2,1,2,0,12,0,0,10,10,44,0,0,93,0,2020-02-01
Barishal Range,1,4,12,0,0,106,2,1,9,26,374,1,0,299,2,2020-02-01
CMP,0,5,2,7,0,64,0,2,13,13,112,31,3,396,3,2020-02-01
Chittagong Range,10,16,48,7,0,239,10,5,35,89,828,48,2,1077,14,2020-02-01
DMP,1,15,21,10,1,194,1,4,74,113,467,12,1,1205,12,2020-02-01
Dhaka Range,4,14,54,8,0,263,11,4,24,74,806,15,1,1186,8,2020-02-01
GMP,0,2,3,1,0,48,3,1,2,14,90,6,0,165,1,2020-02-01
KMP,0,2,1,0,0,8,2,0,1,6,26,0,0,129,0,2020-02-01
Khulna Range,3,6,17,2,0,168,2,4,19,49,520,26,2,766,27,2020-02-01
Mymensingh Range,1,1,16,5,0,129,1,4,7,35,434,3,0,508,7,2020-02-01
RMP,0,5,1,0,0,16,2,0,1,7,55,1,0,268,13,2020-02-01
RPMP,0,1,2,1,0,15,0,1,0,6,40,0,0,72,0,2020-02-01
Railway Range,0,1,2,0,0,0,1,0,1,6,11,0,0,27,15,2020-02-01
Rajshahi Range,3,7,36,2,0,204,1,4,7,43,552,20,3,1542,124,2020-02-01
Rangpur Range,0,1,21,1,0,185,3,1,10,45,676,4,0,524,71,2020-02-01
SMP,0,2,1,10,0,22,1,1,1,5,59,1,0,54,1,2020-02-01
Sylhet Range,3,3,19,0,0,67,1,2,4,30,306,6,0,220,26,2020-02-01
BMP,0,0,1,3,0,10,0,1,8,5,39,0,0,102,0,2020-03-01
Barishal Range,1,4,7,5,0,110,2,1,13,21,476,0,0,327,1,2020-03-01
CMP,0,6,3,7,0,64,1,1,9,13,152,32,0,344,3,2020-03-01
Chittagong Range,8,9,62,11,0,230,5,11,32,65,953,53,0,976,14,2020-03-01
DMP,3,13,17,13,0,187,7,6,49,110,502,15,0,1129,8,2020-03-01
Dhaka Range,3,18,49,9,0,265,10,4,25,80,911,5,1,1009,1,2020-03-01
GMP,3,3,5,1,0,42,4,3,3,13,107,2,0,125,0,2020-03-01
KMP,0,0,3,1,0,7,0,0,1,2,18,0,0,102,0,2020-03-01
Khulna Range,4,12,32,3,0,195,4,1,17,57,651,23,1,616,23,2020-03-01
Mymensingh Range,1,2,21,3,0,122,0,4,4,31,457,4,0,436,10,2020-03-01
RMP,0,2,1,0,2,19,1,0,5,8,53,1,0,243,29,2020-03-01
RPMP,0,0,2,1,0,24,0,0,0,11,42,0,0,87,0,2020-03-01
Railway Range,0,2,3,0,0,0,0,0,1,6,11,0,0,20,5,2020-03-01
Rajshahi Range,0,3,21,9,0,220,1,5,7,34,566,18,1,1441,94,2020-03-01
Rangpur Range,1,1,22,1,0,194,1,1,9,62,644,2,0,457,65,2020-03-01
SMP,0,0,4,4,0,26,0,0,2,7,75,0,0,42,1,2020-03-01
Sylhet Range,2,3,26,1,0,88,3,5,10,35,338,6,0,167,17,2020-03-01
BMP,0,0,3,1,0,4,0,0,1,3,37,0,0,26,0,2020-04-01
Barishal Range,0,0,16,4,0,95,1,3,11,8,537,0,2,68,0,2020-04-01
CMP,0,4,9,3,0,16,0,1,4,10,51,16,0,51,1,2020-04-01
Chittagong Range,2,5,55,7,0,108,1,9,17,37,936,24,1,321,0,2020-04-01
DMP,1,5,8,6,0,47,0,1,21,22,118,2,0,120,0,2020-04-01
Dhaka Range,5,7,51,4,0,128,2,11,11,40,786,8,2,190,3,2020-04-01
GMP,0,1,3,1,0,11,0,0,2,7,68,1,0,22,1,2020-04-01
KMP,0,1,0,0,0,1,0,1,1,1,9,0,0,7,0,2020-04-01
Khulna Range,0,2,29,3,0,127,1,3,9,41,633,10,0,242,7,2020-04-01
Mymensingh Range,0,1,25,1,0,58,2,4,1,27,666,1,0,38,2,2020-04-01
RMP,0,1,1,0,0,11,0,1,3,3,44,0,0,51,5,2020-04-01
RPMP,0,1,1,0,0,6,0,0,0,3,35,0,0,10,0,2020-04-01
Railway Range,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2020-04-01
Rajshahi Range,0,3,31,2,0,160,2,4,1,23,560,14,4,276,34,2020-04-01
Rangpur Range,0,1,27,3,0,104,1,2,5,29,706,0,0,151,28,2020-04-01
SMP,0,0,1,2,0,11,0,1,4,6,49,0,0,10,0,2020-04-01
Sylhet Range,2,0,13,0,0,38,0,4,2,31,336,1,0,56,2,2020-04-01
BMP,0,0,2,2,0,4,0,0,2,5,34,1,0,8,0,2020-05-01
Barishal Range,0,2,12,1,0,106,1,2,9,10,514,2,0,117,2,2020-05-01
CMP,0,3,6,3,0,23,0,0,11,20,102,12,0,51,2,2020-05-01
Chittagong Range,2,10,97,9,0,143,4,12,21,58,1172,51,1,613,2,2020-05-01
DMP,2,8,13,6,0,68,1,3,31,43,172,8,0,161,2,2020-05-01
Dhaka Range,5,12,54,4,0,158,6,16,27,66,1030,4,3,331,0,2020-05-01
GMP,1,5,8,2,0,11,2,1,2,9,65,3,0,34,0,2020-05-01
KMP,0,0,0,0,0,12,1,0,0,2,21,0,0,5,0,2020-05-01
Khulna Range,1,2,36,2,0,131,0,2,8,45,672,9,1,294,5,2020-05-01
Mymensingh Range,0,0,26,3,0,104,3,0,4,28,735,2,0,108,3,2020-05-01
RMP,0,1,2,0,0,17,0,0,4,2,51,2,0,60,7,2020-05-01
RPMP,0,1,5,0,0,8,0,0,0,5,42,0,0,15,0,2020-05-01
Railway Range,0,0,0,0,0,1,0,0,0,1,3,0,0,1,1,2020-05-01
Rajshahi Range,0,9,32,7,0,163,0,6,3,29,615,15,1,328,38,2020-05-01
Rangpur Range,0,5,38,1,0,152,0,4,9,37,819,1,0,224,30,2020-05-01
SMP,0,0,2,3,0,16,0,1,2,6,86,1,0,27,2,2020-05-01
Sylhet Range,0,1,28,1,0,51,1,3,3,31,452,1,0,84,10,2020-05-01
BMP,0,3,2,0,0,12,0,0,4,10,28,0,0,18,0,2020-06-01
Barishal Range,0,3,12,0,0,108,1,0,16,10,359,3,0,223,0,2020-06-01
CMP,1,5,8,10,0,33,0,2,3,7,104,23,0,133,1,2020-06-01
Chittagong Range,4,7,54,9,0,215,7,3,35,62,918,44,1,636,9,2020-06-01
DMP,2,13,19,7,0,185,3,5,45,92,328,11,0,465,2,2020-06-01
Dhaka Range,13,13,64,18,0,269,16,10,31,73,958,14,4,646,5,2020-06-01
GMP,3,1,7,6,0,38,2,1,3,11,68,3,0,45,0,2020-06-01
KMP,0,2,3,0,0,5,0,0,0,4,8,0,0,51,0,2020-06-01
Khulna Range,4,9,32,5,0,188,2,5,19,63,662,16,2,436,15,2020-06-01
Mymensingh Range,0,9,12,8,0,136,0,2,7,35,543,2,0,236,3,2020-06-01
RMP,0,4,0,2,0,15,0,0,1,6,40,0,0,54,6,2020-06-01
RPMP,0,0,3,2,0,21,1,0,1,6,47,0,0,24,0,2020-06-01
Railway Range,0,0,1,0,0,1,0,0,0,2,7,0,0,6,1,2020-06-01
Rajshahi Range,0,4,33,7,0,230,3,0,5,41,556,18,2,650,74,2020-06-01
Rangpur Range,0,5,28,7,0,197,1,1,9,45,756,0,0,355,23,2020-06-01
SMP,0,0,6,5,0,20,0,1,0,8,45,1,0,25,2,2020-06-01
Sylhet Range,0,1,19,0,0,66,2,3,5,31,325,1,0,142,14,2020-06-01
BMP,0,1,0,1,0,18,0,0,6,14,39,1,0,31,1,2020-07-01
Barishal Range,2,3,12,0,0,111,0,1,13,17,354,9,0,290,0,2020-07-01
CMP,0,8,8,8,0,69,0,2,9,25,155,59,2,303,4,2020-07-01
Chittagong Range,6,12,90,11,0,241,9,7,39,96,868,88,0,1303,11,2020-07-01
DMP,1,22,27,10,0,216,2,6,55,122,509,16,2,1418,3,2020-07-01
Dhaka Range,7,18,70,15,0,268,13,12,31,104,928,10,2,1015,10,2020-07-01
GMP,2,1,5,2,0,38,2,1,3,8,83,4,0,136,0,2020-07-01
KMP,0,2,4,0,0,13,0,0,1,6,27,2,0,188,1,2020-07-01
Khulna Range,2,10,29,4,0,215,3,3,24,92,597,16,0,716,32,2020-07-01
Mymensingh Range,1,4,13,8,0,143,1,1,6,56,451,3,0,452,7,2020-07-01
RMP,0,4,3,0,0,23,0,0,1,15,41,1,0,59,7,2020-07-01
RPMP,0,0,2,2,0,24,5,0,0,11,57,0,0,33,0,2020-07-01
Railway Range,0,0,1,0,0,0,0,0,0,5,9,0,0,13,3,2020-07-01
Rajshahi Range,0,3,40,8,0,220,0,5,5,63,503,23,7,1240,87,2020-07-01
