category,model,horizon,fold,MAPE,WAPE,sMAPE,MAE,RMSE,true_MASE
Total_Cases,ARIMA,6,4,9.781390284248609,10.091809008312515,10.40929454888118,1602.024221024587,1816.71029326601,0.8539859249173211
Total_Cases,SARIMA,6,0,10.108140137123454,10.035531831944184,10.065492410994196,1723.452059158951,1939.275222546094,0.5887279657806204
Total_Cases,SARIMA,6,1,7.248481676775745,7.026245214754538,6.942306284802295,1176.3456842629078,1283.0492250377288,0.4800561877203655
Total_Cases,SARIMA,6,2,6.90156361640562,6.753970154891027,6.686828620095778,1106.3791076896352,1303.817200104727,0.5069191044752185
Total_Cases,SARIMA,6,3,7.054578140177388,6.669927566397399,6.685935182063753,1068.1666666666667,1334.5856410636723,0.5364077669902914
Total_Cases,SARIMA,6,4,4.34046214404801,4.149212048673405,4.130436647070235,658.6666666666666,1020.6189298655987,0.35111333222277746
Total_Cases,LGBM,6,0,10.28106712298517,10.104278359604177,9.998748924541516,1735.2582440866402,1850.9220429933373,0.5927609362361491
Total_Cases,LGBM,6,1,10.277612361655745,9.927915608273498,10.12486221491954,1662.1481776631792,2101.662398288027,0.6783078547997684
Total_Cases,LGBM,6,2,10.199581410949154,10.165586022912917,10.350314945193864,1665.2415890567536,1809.0409790260283,0.7629778700560393
Total_Cases,LGBM,6,3,7.944980514298187,7.557460091908793,7.628075596280367,1210.3020421855663,1464.8843052136212,0.607784755031252
Total_Cases,LGBM,6,4,6.651946377235425,6.245033287013987,6.2590919174437865,991.3678091470459,1335.9445650480507,0.5284652655789683
Total_Cases,Ensemble,6,0,8.827862281163572,9.090014885805621,9.365006449938862,1561.0737064138436,1831.0281238880582,0.5332598274065907
Total_Cases,Ensemble,6,1,7.250794338051849,6.776774225530138,6.849614059063058,1134.5788354619763,1433.3366221019407,0.4630115090373034
Total_Cases,Ensemble,6,2,6.263001290241628,6.571359784638614,6.63594437265891,1076.4653985879702,1458.6289985903436,0.49321328652913154
Total_Cases,Ensemble,6,3,7.244761610491094,6.811917693814526,6.918267813876107,1090.9059122720948,1356.238551510044,0.547826872583911
Total_Cases,Ensemble,6,4,5.308092226535232,5.343127421492384,5.3946577521876256,848.1947625248173,999.3262162024357,0.4521444677793462
Total_Cases,Naive,12,0,13.558837938010567,13.86773074390393,14.660262178854252,2351.6666666666665,2523.2720820395093,0.8033248882689515
Total_Cases,Naive,12,1,6.9324514726665525,6.531146221193487,6.551928263893446,1081.6666666666667,1430.6988385634018,0.441418524614694
Total_Cases,Naive,12,2,13.076145095580504,13.578392282958129,14.230301887715225,2199.4166666666665,2495.870372568789,1.007725398360739
Total_Cases,Naive,12,3,7.198626040339522,7.231818538166006,7.2918791779307,1153.0833333333333,1367.8986012615603,0.5790508871777703
Total_Cases,Naive,12,4,13.512749195312665,11.822330746199171,12.320553889357534,1694.5833333333333,2196.5653681752033,0.9033261147204176
Total_Cases,SNaive,12,0,4.061115420223776,4.085624146166452,4.199760877518735,692.8333333333334,948.2151654556048,0.23667055708958412
Total_Cases,SNaive,12,1,5.152386358731805,5.093589614571777,5.140912834424329,843.5833333333334,1053.6974977035234,0.34425883857276945
Total_Cases,SNaive,12,2,6.15285901657452,5.902508038585179,5.868755820582198,956.0833333333334,1194.5354396863522,0.43805681413226083
Total_Cases,SNaive,12,3,5.697520142112699,5.4151096244805945,5.408185914566995,863.4166666666666,1188.0197459077297,0.43358721124874455
Total_Cases,SNaive,12,4,17.298295861307626,13.705415540245843,13.66441729425005,1964.5,3146.446620130927,1.0472097284690989
Total_Cases,ETS,12,0,11.282333513281419,11.616805831583696,12.228041603928972,1969.9585715769201,2322.450051403534,0.6729341244818539
Total_Cases,ETS,12,1,10.40271352917308,10.062063696517427,9.720801796101366,1666.4454492049028,1906.5194321546717,0.6800615330097681
Total_Cases,ETS,12,2,7.935348717189326,8.10070900926822,8.304192610147785,1312.146094730432,1558.38958603786,0.6011971110611356
Total_Cases,ETS,12,3,9.794367965204538,9.260342929031843,9.153167380191322,1476.523095271931,1770.7895389735327,0.7414746042544013
Total_Cases,ETS,12,4,15.479213475114841,12.77886974834189,13.090204304529324,1831.6912425529663,2665.0887334126055,0.9764137891336818
Total_Cases,Theta,12,0,12.570733064552442,12.882188293924443,13.540715206911635,2184.5400205698948,2373.8642230812848,0.7462347418611045
Total_Cases,Theta,12,1,6.820862958416744,6.431984948970683,6.4572049531305895,1065.2439072987,1399.5679746940077,0.43471654291024714
Total_Cases,Theta,12,2,9.614187267375087,9.989778772638491,10.22346564196148,1618.136040776347,1903.1900346699722,0.741395121263917
Total_Cases,Theta,12,3,6.8739103472078735,6.6487300784336805,6.701411951575786,1060.1123079642623,1301.8109875223277,0.532363060577969
Total_Cases,Theta,12,4,13.211993572493713,11.594933297323017,12.097662862208436,1661.9887515050475,2164.616701719489,0.885951025290047
Total_Cases,ARIMA,12,0,12.949412520992118,13.235295412742248,13.939612546332686,2244.419337267154,2408.768320907349,0.7666894032624284
Total_Cases,ARIMA,12,1,7.173266336051272,6.759485715073402,6.768840148227039,1119.4834925114121,1463.5505309458144,0.4568512341401162
Total_Cases,ARIMA,12,2,11.545309738474918,12.000487275143692,12.444510515793453,1943.8289284217226,2237.4595394244125,0.8906205954179862
Total_Cases,ARIMA,12,3,6.935872115184898,6.8460451513803715,6.899254840811307,1091.5733741994752,1308.3344790225708,0.5481620560091104
Total_Cases,ARIMA,12,4,13.408038169382374,11.811466813081939,12.312520848781478,1693.0261243201421,2191.755277445008,0.9024960182949283
Total_Cases,SARIMA,12,0,5.990837878744036,6.046631945847868,5.981266214303661,1025.3777676569769,1410.8917116832429,0.350267107286963
Total_Cases,SARIMA,12,1,9.886424436386932,9.539097314976654,9.236970589480602,1579.8335003153916,1868.5679627632767,0.6447159687329009
Total_Cases,SARIMA,12,2,6.726773540032986,6.443290679550633,6.409329364432804,1043.678854864717,1345.7196404900214,0.47819119756566986
Total_Cases,SARIMA,12,3,5.697520142112699,5.4151096244805945,5.408185914566995,863.4166666666666,1188.0197459077297,0.43358721124874455
Total_Cases,SARIMA,12,4,17.298295861307626,13.705415540245843,13.66441729425005,1964.5,3146.446620130927,1.0472097284690989
Total_Cases,LGBM,12,0,8.670848355714678,8.664596286279673,8.618383460595568,1469.3277972335036,1687.009956939793,0.5019195982465212
Total_Cases,LGBM,12,1,8.717311171870449,8.531021336741233,8.593101778251395,1412.8793170533008,1736.9275251823524,0.5765834547848547
Total_Cases,LGBM,12,2,9.383935440253872,9.160514001999204,9.265767138765048,1483.8124242821702,1638.333675288764,0.6798509300279759
Total_Cases,LGBM,12,3,8.396493167933677,7.989878170417892,7.962530979479597,1273.952783114096,1610.953120620915,0.6397486356448424
Total_Cases,LGBM,12,4,18.384497597337297,15.342280553977977,15.422638278084296,2199.124138905831,2882.5592797878467,1.1722800673827518
Total_Cases,Ensemble,12,0,8.019016521081923,8.295818498163369,8.458746385470723,1406.791074554387,1647.5847893920773,0.48055717198476033
Total_Cases,Ensemble,12,1,7.499499198656152,7.111099258338963,7.0946311524284615,1177.7165555019103,1453.0601918133937,0.4806156280529608
Total_Cases,Ensemble,12,2,6.271274014496635,6.458147539893433,6.498943095464346,1046.085356722327,1367.4998446877798,0.47929380494328483
Total_Cases,Ensemble,12,3,6.584651588589328,6.238260957017386,6.303209262210717,994.6647168424397,1251.6649822556092,0.49949684474846323
Total_Cases,Ensemble,12,4,14.129394200014723,11.500752455092952,11.962866144601392,1648.4891050318956,2412.39213394623,0.8787548119443721
Murder,Naive,1,0,12.5,12.499999999952651,13.333333333306395,33.0,33.0,1.040735873850197
Murder,Naive,1,1,18.627450980392158,18.627450980331282,20.540540540503528,57.0,57.0,1.8978912319644838
Murder,Naive,1,2,7.476635514018691,7.476635513983755,7.7669902912432836,16.0,16.0,0.5625
Murder,Naive,1,3,8.108108108108109,8.108108108080717,8.450704225337233,24.0,24.0,0.8491996630160067
Murder,Naive,1,4,0.8658008658008658,0.8658008657971178,0.8620689655153835,2.0,2.0,0.07207207207207207
Murder,SNaive,1,0,2.6515151515151514,2.651515151505108,2.68714011515799,7.0,7.0,0.22076215505913274
Murder,SNaive,1,1,8.823529411764707,8.823529411735871,9.230769230753452,27.0,27.0,0.8990011098779134
Murder,SNaive,1,2,23.364485981308412,23.36448598119923,20.920502092006444,50.0,50.0,1.7578125
Murder,SNaive,1,3,3.3783783783783785,3.378378378366965,3.3222591362071054,10.0,10.0,0.35383319292333615
Murder,SNaive,1,4,7.35930735930736,7.3593073592755,7.640449438185078,17.0,17.0,0.6126126126126126
Murder,ETS,1,0,2.6200682841076217,2.620068284097697,2.6548476953309583,6.916980270044121,6.916980270044121,0.21814392441663458
Murder,ETS,1,1,6.776916948892333,6.776916948870185,7.014603888799735,20.737365863610535,20.737365863610535,0.6904783306418601
Murder,ETS,1,2,15.001800420474218,15.001800420404116,13.955046321568403,32.103852899814825,32.103852899814825,1.128651078509115
Murder,ETS,1,3,5.067746192852759,5.067746192835639,5.199494792542296,15.000528730844167,15.000528730844167,0.5307684976372831
Murder,ETS,1,4,0.5195477855507634,0.5195477855485143,0.5209009502255407,1.2001553846222635,1.2001553846222635,0.04324884268909057
Murder,Theta,1,0,10.101071734732795,10.101071734694534,10.638366237225517,26.666829379694576,26.666829379694576,0.8410038174936529
Murder,Theta,1,1,16.410022750531372,16.410022750477747,17.876817674206293,50.214669616626,50.214669616626,1.6719645821296114
Murder,Theta,1,2,12.433201566856656,12.433201566798559,11.705516345961907,26.607051353073246,26.607051353073246,0.9354041491314813
Murder,Theta,1,3,1.237478418546416,1.2374784185422354,1.245182853083487,3.6629361188973917,3.6629361188973917,0.12960683824236768
Murder,Theta,1,4,2.7591530616454887,2.7591530616335445,2.7216064182322994,6.373643572401079,6.373643572401079,0.22968084945589473
Murder,ARIMA,1,0,8.7610227565782,8.761022756545014,9.162381939963241,23.129100077366445,23.129100077366445,0.72943285395111
Murder,ARIMA,1,1,14.377934192853392,14.377934192806405,15.491621785705304,43.99647863013138,43.99647863013138,1.4649215970077039
Murder,ARIMA,1,2,3.2509845568224818,3.2509845568072904,3.198985297811569,6.95710695160011,6.95710695160011,0.24458579126719138
Murder,ARIMA,1,3,12.724661072355303,12.724661072312315,13.589254351581893,37.6649967741717,37.6649967741717,1.3327126070052326
Murder,ARIMA,1,4,0.14922491448448683,0.14922491448384084,0.14933633799549761,0.34470955245916457,0.34470955245916457,0.012421965854384308
Murder,SARIMA,1,0,8.808684179881695,8.80868417984833,9.214523308319992,23.254926234887677,23.254926234887677,0.7334010901935667
Murder,SARIMA,1,1,15.333048129155424,15.333048129105316,16.606163662518426,46.9191272752156,46.9191272752156,1.562235092404515
Murder,SARIMA,1,2,9.153242209969322,9.15324220992655,8.752665857084745,19.58793832933435,19.58793832933435,0.6886384568906607
Murder,SARIMA,1,3,1.742957795639622,1.7429577956337337,1.7278995159794122,5.159155075093281,5.159155075093281,0.18254803130068897
Murder,SARIMA,1,4,9.486429080353602,9.486429080312536,9.958796147213231,21.91365117561682,21.91365117561682,0.7896811234456512
Murder,LGBM,1,0,6.070728246891799,6.070728246868804,6.260765269730503,16.026722571794352,16.026722571794352,0.5054419733548811
Murder,LGBM,1,1,14.08250449719379,14.082504497147772,15.149197722445093,43.092463761413,43.092463761413,1.4348212129216316
